date,count
1901-04,-0.005
1901-05,-0.251
1901-06,-0.105
1901-07,-0.135
1901-08,-0.095
1901-09,-0.277
1901-10,-0.335
1901-11,-0.368
1901-12,-0.525
1902-01,-0.433
1902-02,-0.130
1902-03,-0.580
1902-04,-0.534
1902-05,-0.503
1902-06,-0.471
1902-07,-0.379
1902-08,-0.298
1902-09,-0.373
1902-10,-0.438
1902-11,-0.690
1902-12,-0.690
1903-01,-0.369
1903-02,-0.079
1903-03,-0.413
1903-04,-0.562
1903-05,-0.516
1903-06,-0.544
1903-07,-0.474
1903-08,-0.587
1903-09,-0.534
1903-10,-0.596
1903-11,-0.636
1903-12,-0.751
1904-01,-0.916
1904-02,-0.853
1904-03,-0.730
1904-04,-0.660
1904-05,-0.550
1904-06,-0.490
1904-07,-0.550
1904-08,-0.424
1904-09,-0.625
1904-10,-0.442
1904-11,-0.247
1904-12,-0.453
1905-01,-0.484
1905-02,-0.924
1905-03,-0.608
1905-04,-0.629
1905-05,-0.446
1905-06,-0.339
1905-07,-0.259
1905-08,-0.276
1905-09,-0.251
1905-10,-0.285
1905-11,-0.069
1905-12,-0.272
1906-01,-0.419
1906-02,-0.611
1906-03,-0.284
1906-04,-0.012
1906-05,-0.324
1906-06,-0.058
1906-07,-0.311
1906-08,-0.115
1906-09,-0.189
1906-10,-0.148
1906-11,-0.509
1906-12,-0.144
1907-01,-0.672
1907-02,-0.767
1907-03,-0.558
1907-04,-0.539
1907-05,-0.735
1907-06,-0.583
1907-07,-0.405
1907-08,-0.461
1907-09,-0.368
1907-10,-0.175
1907-11,-0.591
1907-12,-0.588
1908-01,-0.478
1908-02,-0.408
1908-03,-0.897
1908-04,-0.569
1908-05,-0.374
1908-06,-0.280
1908-07,-0.319
1908-08,-0.404
1908-09,-0.252
1908-10,-0.404
1908-11,-0.693
1908-12,-0.657
1909-01,-0.891
1909-02,-0.501
1909-03,-0.753
1909-04,-0.673
1909-05,-0.554
1909-06,-0.444
1909-07,-0.409
1909-08,-0.295
1909-09,-0.322
1909-10,-0.369
1909-11,-0.189
1909-12,-0.527
1910-01,-0.377
1910-02,-0.461
1910-03,-0.614
1910-04,-0.531
1910-05,-0.466
1910-06,-0.556
1910-07,-0.380
1910-08,-0.333
1910-09,-0.363
1910-10,-0.348
1910-11,-0.644
1910-12,-0.823
1911-01,-0.724
1911-02,-0.700
1911-03,-0.748
1911-04,-0.518
1911-05,-0.508
1911-06,-0.343
1911-07,-0.348
1911-08,-0.386
1911-09,-0.318
1911-10,-0.199
1911-11,-0.269
1911-12,-0.376
1912-01,-0.440
1912-02,-0.277
1912-03,-0.792
1912-04,-0.335
1912-05,-0.271
1912-06,-0.119
1912-07,-0.520
1912-08,-0.661
1912-09,-0.765
1912-10,-0.845
1912-11,-0.605
1912-12,-0.734
1913-01,-0.640
1913-02,-0.759
1913-03,-0.701
1913-04,-0.575
1913-05,-0.620
1913-06,-0.579
1913-07,-0.545
1913-08,-0.367
1913-09,-0.398
1913-10,-0.438
1913-11,-0.305
1913-12,-0.009
1914-01,0.110
1914-02,-0.247
1914-03,-0.536
1914-04,-0.493
1914-05,-0.276
1914-06,-0.276
1914-07,-0.307
1914-08,-0.244
1914-09,-0.278
1914-10,-0.088
1914-11,-0.339
1914-12,-0.254
1915-01,-0.307
1915-02,-0.242
1915-03,-0.318
1915-04,-0.037
1915-05,-0.078
1915-06,-0.094
1915-07,-0.142
1915-08,-0.014
1915-09,-0.130
1915-10,-0.347
1915-11,-0.076
1915-12,-0.321
1916-01,-0.312
1916-02,-0.304
1916-03,-0.582
1916-04,-0.405
1916-05,-0.389
1916-06,-0.453
1916-07,-0.222
1916-08,-0.298
1916-09,-0.398
1916-10,-0.381
1916-11,-0.505
1916-12,-1.072
1917-01,-0.663
1917-02,-0.779
1917-03,-0.868
1917-04,-0.556
1917-05,-0.714
1917-06,-0.488
1917-07,-0.258
1917-08,-0.268
1917-09,-0.281
1917-10,-0.672
1917-11,-0.404
1917-12,-1.062
1918-01,-0.588
1918-02,-0.644
1918-03,-0.550
1918-04,-0.646
1918-05,-0.609
1918-06,-0.529
1918-07,-0.356
1918-08,-0.350
1918-09,-0.227
1918-10,-0.118
1918-11,-0.363
1918-12,-0.652
1919-01,-0.382
1919-02,-0.413
1919-03,-0.642
1919-04,-0.272
1919-05,-0.430
1919-06,-0.409
1919-07,-0.267
1919-08,-0.144
1919-09,-0.186
1919-10,-0.129
1919-11,-0.570
1919-12,-0.622
1920-01,-0.194
1920-02,-0.473
1920-03,-0.177
1920-04,-0.322
1920-05,-0.255
1920-06,-0.238
1920-07,-0.202
1920-08,-0.189
1920-09,-0.282
1920-10,-0.274
1920-11,-0.474
1920-12,-0.630
1921-01,-0.064
1921-02,-0.177
1921-03,-0.348
1921-04,-0.139
1921-05,-0.274
1921-06,-0.097
1921-07,0.003
1921-08,-0.202
1921-09,-0.147
1921-10,-0.079
1921-11,-0.200
1921-12,-0.233
1922-01,-0.439
1922-02,-0.563
1922-03,-0.295
1922-04,-0.248
1922-05,-0.308
1922-06,-0.198
1922-07,-0.212
1922-08,-0.336
1922-09,-0.360
1922-10,-0.283
1922-11,-0.180
1922-12,-0.209
1923-01,-0.326
1923-02,-0.588
1923-03,-0.555
1923-04,-0.594
1923-05,-0.378
1923-06,-0.215
1923-07,-0.283
1923-08,-0.204
1923-09,-0.170
1923-10,0.085
1923-11,0.158
1923-12,0.007
1924-01,-0.364
1924-02,-0.229
1924-03,-0.028
1924-04,-0.313
1924-05,-0.124
1924-06,-0.186
1924-07,-0.180
1924-08,-0.161
1924-09,-0.174
1924-10,-0.187
1924-11,0.027
1924-12,-0.392
1925-01,-0.397
1925-02,-0.492
1925-03,-0.323
1925-04,-0.204
1925-05,-0.251
1925-06,-0.264
1925-07,-0.211
1925-08,-0.106
1925-09,0.015
1925-10,-0.085
1925-11,0.094
1925-12,0.201
1926-01,0.389
1926-02,0.117
1926-03,0.131
1926-04,-0.166
1926-05,-0.206
1926-06,-0.135
1926-07,-0.094
1926-08,0.021
1926-09,0.033
1926-10,0.108
1926-11,0.063
1926-12,-0.285
1927-01,-0.313
1927-02,-0.110
1927-03,-0.447
1927-04,-0.268
1927-05,-0.087
1927-06,-0.107
1927-07,-0.052
1927-08,-0.034
1927-09,0.078
1927-10,0.274
1927-11,0.118
1927-12,-0.334
1928-01,0.173
1928-02,0.040
1928-03,-0.271
1928-04,-0.217
1928-05,-0.154
1928-06,-0.241
1928-07,-0.081
1928-08,-0.100
1928-09,-0.074
1928-10,-0.029
1928-11,-0.040
1928-12,-0.055
1929-01,-0.531
1929-02,-0.709
1929-03,-0.371
1929-04,-0.336
1929-05,-0.317
1929-06,-0.363
1929-07,-0.347
1929-08,-0.085
1929-09,-0.146
1929-10,-0.036
1929-11,-0.115
1929-12,-0.684
1930-01,-0.196
1930-02,-0.256
1930-03,-0.062
1930-04,-0.159
1930-05,-0.200
1930-06,-0.133
1930-07,0.018
1930-08,0.110
1930-09,0.057
1930-10,0.071
1930-11,0.324
1930-12,0.068
1931-01,-0.058
1931-02,-0.357
1931-03,-0.046
1931-04,-0.123
1931-05,-0.099
1931-06,0.178
1931-07,0.147
1931-08,0.170
1931-09,0.199
1931-10,0.316
1931-11,0.123
1931-12,0.102
1932-01,0.318
1932-02,-0.189
1932-03,-0.240
1932-04,0.116
1932-05,-0.078
1932-06,-0.092
1932-07,-0.051
1932-08,-0.031
1932-09,0.164
1932-10,0.127
1932-11,-0.298
1932-12,-0.196
1933-01,-0.292
1933-02,-0.341
1933-03,-0.398
1933-04,-0.184
1933-05,-0.246
1933-06,-0.332
1933-07,-0.116
1933-08,-0.047
1933-09,-0.265
1933-10,-0.166
1933-11,-0.301
1933-12,-0.491
1934-01,-0.249
1934-02,0.254
1934-03,-0.456
1934-04,-0.355
1934-05,-0.025
1934-06,-0.049
1934-07,-0.081
1934-08,-0.074
1934-09,-0.084
1934-10,0.108
1934-11,0.290
1934-12,0.080
1935-01,-0.418
1935-02,0.472
1935-03,-0.020
1935-04,-0.288
1935-05,-0.266
1935-06,-0.103
1935-07,0.000
1935-08,0.022
1935-09,-0.056
1935-10,0.140
1935-11,-0.343
1935-12,-0.178
1936-01,-0.389
1936-02,-0.441
1936-03,-0.256
1936-04,-0.059
1936-05,-0.035
1936-06,0.021
1936-07,0.081
1936-08,0.077
1936-09,0.060
1936-10,0.029
1936-11,0.112
1936-12,0.069
1937-01,-0.004
1937-02,0.235
1937-03,-0.264
1937-04,-0.052
1937-05,0.098
1937-06,0.152
1937-07,0.136
1937-08,0.176
1937-09,0.325
1937-10,0.349
1937-11,0.251
1937-12,0.059
1938-01,0.288
1938-02,0.244
1938-03,0.145
1938-04,0.277
1938-05,0.024
1938-06,-0.045
1938-07,0.060
1938-08,0.144
1938-09,0.212
1938-10,0.340
1938-11,0.331
1938-12,-0.105
1939-01,-0.075
1939-02,-0.066
1939-03,-0.345
1939-04,-0.074
1939-05,0.006
1939-06,-0.007
1939-07,0.019
1939-08,0.103
1939-09,0.143
1939-10,0.028
1939-11,0.199
1939-12,0.708
1940-01,-0.030
1940-02,0.106
1940-03,-0.048
1940-04,0.254
1940-05,0.099
1940-06,0.054
1940-07,0.113
1940-08,0.085
1940-09,0.191
1940-10,0.239
1940-11,0.163
1940-12,0.238
1941-01,0.003
1941-02,0.262
1941-03,-0.107
1941-04,0.008
1941-05,0.080
1941-06,0.095
1941-07,0.161
1941-08,0.097
1941-09,0.021
1941-10,0.335
1941-11,-0.046
1941-12,-0.004
1942-01,0.314
1942-02,-0.032
1942-03,-0.115
1942-04,0.022
1942-05,0.121
1942-06,0.079
1942-07,0.002
1942-08,-0.099
1942-09,0.072
1942-10,0.149
1942-11,0.139
1942-12,0.070
1943-01,-0.258
1943-02,0.173
1943-03,-0.144
1943-04,0.217
1943-05,0.192
1943-06,-0.110
1943-07,0.033
1943-08,0.135
1943-09,0.110
1943-10,0.404
1943-11,0.295
1943-12,0.302
1944-01,0.575
1944-02,0.302
1944-03,0.206
1944-04,0.091
1944-05,0.222
1944-06,0.094
1944-07,0.105
1944-08,0.159
1944-09,0.266
1944-10,0.400
1944-11,0.164
1944-12,0.056
1945-01,0.155
1945-02,-0.065
1945-03,-0.018
1945-04,0.248
1945-05,0.046
1945-06,0.092
1945-07,0.038
1945-08,0.249
1945-09,0.151
1945-10,0.253
1945-11,0.089
1945-12,-0.236
1946-01,0.231
1946-02,0.026
1946-03,-0.053
1946-04,0.190
1946-05,0.004
1946-06,-0.127
1946-07,-0.064
1946-08,-0.046
1946-09,-0.045
1946-10,0.031
1946-11,0.097
1946-12,-0.381
1947-01,-0.112
1947-02,0.019
1947-03,0.167
1947-04,0.093
1947-05,-0.056
1947-06,-0.086
1947-07,-0.027
1947-08,-0.040
1947-09,0.004
1947-10,0.375
1947-11,0.249
1947-12,-0.054
1948-01,0.270
1948-02,-0.182
1948-03,-0.296
1948-04,0.022
1948-05,0.198
1948-06,0.113
1948-07,0.028
1948-08,0.118
1948-09,0.009
1948-10,0.109
1948-11,0.030
1948-12,-0.428
1949-01,0.168
1949-02,-0.207
1949-03,-0.031
1949-04,-0.045
1949-05,-0.039
1949-06,-0.206
1949-07,-0.203
1949-08,0.020
1949-09,-0.125
1949-10,0.078
1949-11,-0.046
1949-12,-0.174
1950-01,-0.360
1950-02,-0.371
1950-03,-0.091
1950-04,-0.227
1950-05,-0.068
1950-06,-0.109
1950-07,-0.209
1950-08,-0.174
1950-09,-0.149
1950-10,-0.106
1950-11,-0.334
1950-12,-0.091
1951-01,-0.355
1951-02,-0.578
1951-03,-0.221
1951-04,0.050
1951-05,0.162
1951-06,0.072
1951-07,0.130
1951-08,0.278
1951-09,0.358
1951-10,0.329
1951-11,0.070
1951-12,0.352
1952-01,0.163
1952-02,0.131
1952-03,-0.275
1952-04,0.151
1952-05,0.181
1952-06,0.170
1952-07,0.143
1952-08,0.106
1952-09,0.187
1952-10,0.028
1952-11,-0.193
1952-12,0.046
1953-01,0.173
1953-02,0.288
1953-03,0.163
1953-04,0.460
1953-05,0.265
1953-06,0.198
1953-07,0.188
1953-08,0.177
1953-09,0.150
1953-10,0.223
1953-11,0.068
1953-12,0.126
1954-01,-0.283
1954-02,-0.036
1954-03,-0.230
1954-04,-0.017
1954-05,-0.096
1954-06,-0.023
1954-07,-0.105
1954-08,0.017
1954-09,0.057
1954-10,0.141
1954-11,0.298
1954-12,-0.096
1955-01,0.388
1955-02,-0.202
1955-03,-0.541
1955-04,-0.205
1955-05,-0.147
1955-06,-0.069
1955-07,-0.110
1955-08,0.005
1955-09,-0.063
1955-10,0.078
1955-11,-0.334
1955-12,-0.307
1956-01,-0.087
1956-02,-0.293
1956-03,-0.331
1956-04,-0.277
1956-05,-0.361
1956-06,-0.251
1956-07,-0.275
1956-08,-0.293
1956-09,-0.367
1956-10,-0.329
1956-11,-0.306
1956-12,-0.180
1957-01,-0.218
1957-02,-0.149
1957-03,-0.278
1957-04,-0.108
1957-05,-0.086
1957-06,0.039
1957-07,0.036
1957-08,0.123
1957-09,0.070
1957-10,0.003
1957-11,0.007
1957-12,0.131
1958-01,0.525
1958-02,0.192
1958-03,0.076
1958-04,-0.041
1958-05,0.021
1958-06,0.012
1958-07,-0.008
1958-08,0.102
1958-09,0.005
1958-10,0.036
1958-11,-0.043
1958-12,0.115
1959-01,0.206
1959-02,0.100
1959-03,0.131
1959-04,0.107
1959-05,-0.009
1959-06,0.071
1959-07,-0.024
1959-08,0.036
1959-09,0.089
1959-10,-0.057
1959-11,-0.065
1959-12,-0.020
1960-01,0.028
1960-02,0.328
1960-03,-0.515
1960-04,-0.234
1960-05,-0.035
1960-06,0.103
1960-07,0.050
1960-08,0.059
1960-09,0.080
1960-10,-0.014
1960-11,-0.170
1960-12,0.326
1961-01,0.054
1961-02,0.160
1961-03,-0.023
1961-04,0.077
1961-05,0.001
1961-06,0.092
1961-07,0.006
1961-08,-0.015
1961-09,-0.146
1961-10,-0.130
1961-11,0.013
1961-12,-0.170
1962-01,0.179
1962-02,0.221
1962-03,0.194
1962-04,0.132
1962-05,-0.052
1962-06,-0.181
1962-07,0.039
1962-08,-0.021
1962-09,-0.084
1962-10,0.039
1962-11,0.064
1962-12,0.047
1963-01,0.056
1963-02,0.367
1963-03,-0.363
1963-04,-0.050
1963-05,-0.123
1963-06,-0.101
1963-07,0.076
1963-08,0.137
1963-09,0.096
1963-10,0.337
1963-11,0.350
1963-12,0.060
1964-01,-0.085
1964-02,-0.119
1964-03,-0.510
1964-04,-0.406
1964-05,-0.217
1964-06,-0.138
1964-07,-0.179
1964-08,-0.258
1964-09,-0.326
1964-10,-0.334
