date,count.0
2021-02-09,1147680.0
2021-02-10,1149767.0
2021-02-11,1151727.0
2021-02-12,1153463.0
2021-02-13,1155091.0
2021-02-14,1156294.0
2021-02-15,1157152.0
2021-02-16,1158489.0
2021-02-17,1159880.0
2021-02-18,1161134.0
2021-02-19,1162195.0
2021-02-20,1163149.0
2021-02-21,1163900.0
2021-02-22,1164461.0
2021-02-23,1165492.0
2021-02-24,1166357.0
2021-02-25,1167217.0
2021-02-26,1167972.0
2021-02-27,1168709.0
2021-02-28,1169277.0
2021-03-01,1169768.0
2021-03-02,1170543.0
2021-03-03,1171189.0
2021-03-04,1171828.0
2021-03-05,1172462.0
2021-03-06,1173071.0
2021-03-07,1173554.0
2021-03-08,1173986.0
2021-03-09,1174705.0
2021-03-10,1175316.0
2021-03-11,1175911.0
2021-03-12,1176454.0
2021-03-13,1176982.0
2021-03-14,1177377.0
2021-03-15,1177692.0
2021-03-16,1178259.0
2021-03-17,1178817.0
2021-03-18,1179336.0
2021-03-19,1179783.0
2021-03-20,1180209.0
2021-03-21,1180544.0
2021-03-22,1180839.0
2021-03-23,1181361.0
2021-03-24,1181864.0
2021-03-25,1182376.0
2021-03-26,1182846.0
2021-03-27,1183273.0
2021-03-28,1183608.0
2021-03-29,1183921.0
2021-03-30,1184471.0
2021-03-31,1184961.0
2021-04-01,1185450.0
2021-04-02,1185909.0
2021-04-03,1186396.0
2021-04-04,1186705.0
2021-04-05,1187003.0
2021-04-06,1187544.0
2021-04-07,1188077.0
2021-04-08,1188581.0
2021-04-09,1189013.0
2021-04-10,1189510.0
2021-04-11,1189873.0
2021-04-12,1190142.0
2021-04-13,1190650.0
2021-04-14,1191145.0
2021-04-15,1191595.0
2021-04-16,1191990.0
2021-04-17,1192383.0
2021-04-18,1192681.0
2021-04-19,1192935.0
2021-04-20,1193386.0
2021-04-21,1193761.0
2021-04-22,1194102.0
2021-04-23,1194438.0
2021-04-24,1194755.0
2021-04-25,1195018.0
2021-04-26,1195239.0
2021-04-27,1195568.0
2021-04-28,1195890.0
2021-04-29,1196208.0
2021-04-30,1196502.0
2021-05-01,1196776.0
2021-05-02,1196983.0
2021-05-03,1197150.0
2021-05-04,1197496.0
2021-05-05,1197760.0
2021-05-06,1198046.0
2021-05-07,1198307.0
2021-05-08,1198546.0
2021-05-09,1198715.0
2021-05-10,1198862.0
2021-05-11,1199118.0
2021-05-12,1199373.0
2021-05-13,1199604.0
2021-05-14,1199782.0
2021-05-15,1199970.0
2021-05-16,1200102.0
2021-05-17,1200223.0
2021-05-18,1200441.0
2021-05-19,1200612.0
2021-05-20,1200789.0
